AOA,Lift_Augmentation_Percentage
-15,7.04180311619723
-14.954954954955,7.0358808924829
-14.9099099099099,7.02995661878632
-14.8648648648649,7.02402721603214
-14.8198198198198,7.01808870078214
-14.7747747747748,7.01213653961386
-14.7297297297297,7.00616593427386
-14.6846846846847,7.00017204467537
-14.6396396396396,6.99415015727953
-14.5945945945946,6.98809580647894
-14.5495495495495,6.98200485638667
-14.5045045045045,6.97587355000601
-14.4594594594595,6.96969853218333
-14.4144144144144,6.96347685208685
-14.3693693693694,6.95720595025229
-14.3243243243243,6.95088363452914
-14.2792792792793,6.94450804857457
-14.2342342342342,6.93807763589656
-14.1891891891892,6.93159110185541
-14.1441441441441,6.92504737550221
-14.0990990990991,6.91844557266778
-14.0540540540541,6.91178496131578
-14.009009009009,6.90506492983777
-13.963963963964,6.89828495869195
-13.9189189189189,6.89144459556579
-13.8738738738739,6.88454343407027
-13.8288288288288,6.87758109584429
-13.7837837837838,6.87055721585502
-13.7387387387387,6.86347143061815
-13.6936936936937,6.8563233690262
-13.6486486486486,6.84911264545661
-13.6036036036036,6.84183885483173
-13.5585585585586,6.83450156931425
-13.5135135135135,6.82710033634196
-13.4684684684685,6.81963467773165
-13.4234234234234,6.81210408961094
-13.3783783783784,6.80450804296728
-13.3333333333333,6.79684598463414
-13.2882882882883,6.78911733856309
-13.2432432432432,6.78132150725873
-13.1981981981982,6.77345787327749
-13.1531531531532,6.76552580071438
-13.1081081081081,6.7575246366207
-13.0630630630631,6.74945371231252
-13.018018018018,6.74131234454359
-12.972972972973,6.73309983652779
-12.9279279279279,6.72481547880503
-12.8828828828829,6.71645854995179
-12.8378378378378,6.70802831714252
-12.7927927927928,6.6995240365717
-12.7477477477477,6.69094495374899
-12.7027027027027,6.68229030368105
-12.6576576576577,6.67355931095405
-12.6126126126126,6.6647511897311
-12.5675675675676,6.65586514367771
-12.5225225225225,6.646900365828
-12.4774774774775,6.63785603840267
-12.4324324324324,6.62873133258898
-12.3873873873874,6.61952540829122
-12.3423423423423,6.61023741385918
-12.2972972972973,6.60086648580061
-12.2522522522523,6.59141174848268
-12.2072072072072,6.58187231382634
-12.1621621621622,6.57224728099651
-12.1171171171171,6.5625357360902
-12.0720720720721,6.55273675182403
-12.027027027027,6.54284938722213
-11.981981981982,6.53287268730455
-11.9369369369369,6.52280568277648
-11.8918918918919,6.51264738971781
-11.8468468468468,6.50239680927271
-11.8018018018018,6.49205292733848
-11.7567567567568,6.48161471425296
-11.7117117117117,6.47108112447984
-11.6666666666667,6.46045109629086
-11.6216216216216,6.44972355144436
-11.5765765765766,6.43889739485918
-11.5315315315315,6.42797151428332
-11.4864864864865,6.4169447799566
-11.4414414414414,6.40581604426677
-11.3963963963964,6.39458414139836
-11.3513513513514,6.3832478869738
-11.3063063063063,6.3718060776864
-11.2612612612613,6.36025749092453
-11.2162162162162,6.34860088438681
-11.1711711711712,6.33683499568776
-11.1261261261261,6.32495854195367
-11.0810810810811,6.31297021940829
-11.036036036036,6.30086870294795
-10.990990990991,6.28865264570605
